algorithm_score,case,conversion_unavailable,fio2_fraction,input_unit,input_value,pao2_calc_mmhg,pf_ratio_mmhg,qualifying_pf_count,raw_rubric,records,score_status,singleton_suppressed,source,source_event_id,support_adjusted_score,support_label,threshold_factor
0,spo2_1record_factor1.0,true,0.21,percent,49.0,,,0,,1,no_qualifying_data,false,spo2,cell0:0:fio20,,ROOM_AIR,1.0
0,spo2_1record_factor1.0,true,0.33,percent,49.0,,,0,,1,no_qualifying_data,false,spo2,cell0:1:fio20,,LOW_FLOW,1.0
0,spo2_1record_factor1.0,true,0.4,percent,49.0,,,0,,1,no_qualifying_data,false,spo2,cell0:2:fio20,,HFNC,1.0
0,spo2_1record_factor1.0,true,0.5,percent,49.0,,,0,,1,no_qualifying_data,false,spo2,cell0:3:fio20,,IMV,1.0
0,spo2_1record_factor1.0,true,0.5,percent,49.0,,,0,,1,no_qualifying_data,false,spo2,cell0:4:fio20,,NIPPV,1.0
0,spo2_1record_factor1.0,true,0.5,percent,49.0,,,0,,1,no_qualifying_data,false,spo2,cell0:5:fio20,,SURG IMV,1.0
0,spo2_1record_factor1.0,true,,percent,49.0,,,0,,1,no_qualifying_data,false,spo2,,,UNKNOWN,1.0
0,spo2_1record_factor1.0,false,0.21,percent,50.0,26.9,128.1,1,3,1,suppressed_only,true,spo2,cell1:0:fio20,2,ROOM_AIR,1.0
0,spo2_1record_factor1.0,false,0.33,percent,50.0,26.9,81.52,1,4,1,suppressed_only,true,spo2,cell1:1:fio20,2,LOW_FLOW,1.0
0,spo2_1record_factor1.0,false,0.4,percent,50.0,26.9,67.25,1,4,1,suppressed_only,true,spo2,cell1:2:fio20,2,HFNC,1.0
4,spo2_1record_factor1.0,false,0.5,percent,50.0,26.9,53.8,1,4,1,observed_scored,false,spo2,cell1:3:fio20,4,IMV,1.0
4,spo2_1record_factor1.0,false,0.5,percent,50.0,26.9,53.8,1,4,1,observed_scored,false,spo2,cell1:4:fio20,4,NIPPV,1.0
