acute,baseline,C,signed_delta,R,algorithm_eligible,evidence_state,missing_evidence_state
0,0,0,0,0,False,ineligible,indeterminate
0,0,1,0,0,False,ineligible,indeterminate
0,0,ge2,0,0,True,eligible,eligible
0,1,0,-1,0,False,ineligible,indeterminate
0,1,1,-1,0,False,ineligible,indeterminate
0,1,ge2,-1,0,True,eligible,eligible
0,2,0,-2,0,False,ineligible,indeterminate
0,2,1,-2,0,False,ineligible,indeterminate
0,2,ge2,-2,0,True,eligible,eligible
0,3,0,-3,0,False,ineligible,indeterminate
0,3,1,-3,0,False,ineligible,indeterminate
0,3,ge2,-3,0,True,eligible,eligible
0,4,0,-4,0,False,ineligible,indeterminate
0,4,1,-4,0,False,ineligible,indeterminate
0,4,ge2,-4,0,True,eligible,eligible
1,0,0,1,1,False,ineligible,indeterminate
1,0,1,1,1,True,eligible,indeterminate
1,0,ge2,1,1,True,eligible,eligible
1,1,0,0,0,False,ineligible,indeterminate
1,1,1,0,0,False,ineligible,indeterminate
1,1,ge2,0,0,True,eligible,eligible
1,2,0,-1,0,False,ineligible,indeterminate
1,2,1,-1,0,False,ineligible,indeterminate
1,2,ge2,-1,0,True,eligible,eligible
1,3,0,-2,0,False,ineligible,indeterminate
1,3,1,-2,0,False,ineligible,indeterminate
1,3,ge2,-2,0,True,eligible,eligible
1,4,0,-3,0,False,ineligible,indeterminate
1,4,1,-3,0,False,ineligible,indeterminate
1,4,ge2,-3,0,True,eligible,eligible
2,0,0,2,2,True,eligible,indeterminate
2,0,1,2,2,True,eligible,indeterminate
2,0,ge2,2,2,True,eligible,eligible
2,1,0,1,1,False,ineligible,indeterminate
2,1,1,1,1,True,eligible,indeterminate
2,1,ge2,1,1,True,eligible,eligible
2,2,0,0,0,False,ineligible,indeterminate
2,2,1,0,0,False,ineligible,indeterminate
2,2,ge2,0,0,True,eligible,eligible
2,3,0,-1,0,False,ineligible,indeterminate
2,3,1,-1,0,False,ineligible,indeterminate
2,3,ge2,-1,0,True,eligible,eligible
2,4,0,-2,0,False,ineligible,indeterminate
2,4,1,-2,0,False,ineligible,indeterminate
2,4,ge2,-2,0,True,eligible,eligible
3,0,0,3,3,True,eligible,indeterminate
3,0,1,3,3,True,eligible,indeterminate
3,0,ge2,3,3,True,eligible,eligible
3,1,0,2,2,True,eligible,indeterminate
3,1,1,2,2,True,eligible,indeterminate
3,1,ge2,2,2,True,eligible,eligible
3,2,0,1,1,False,ineligible,indeterminate
3,2,1,1,1,True,eligible,indeterminate
3,2,ge2,1,1,True,eligible,eligible
3,3,0,0,0,False,ineligible,indeterminate
3,3,1,0,0,False,ineligible,indeterminate
3,3,ge2,0,0,True,eligible,eligible
3,4,0,-1,0,False,ineligible,indeterminate
3,4,1,-1,0,False,ineligible,indeterminate
3,4,ge2,-1,0,True,eligible,eligible
4,0,0,4,4,True,eligible,indeterminate
4,0,1,4,4,True,eligible,indeterminate
4,0,ge2,4,4,True,eligible,eligible
4,1,0,3,3,True,eligible,indeterminate
4,1,1,3,3,True,eligible,indeterminate
4,1,ge2,3,3,True,eligible,eligible
4,2,0,2,2,True,eligible,indeterminate
4,2,1,2,2,True,eligible,indeterminate
4,2,ge2,2,2,True,eligible,eligible
4,3,0,1,1,False,ineligible,indeterminate
4,3,1,1,1,True,eligible,indeterminate
4,3,ge2,1,1,True,eligible,eligible
4,4,0,0,0,False,ineligible,indeterminate
4,4,1,0,0,False,ineligible,indeterminate
4,4,ge2,0,0,True,eligible,eligible
