profile,support,pf_mmhg,records,raw_rubric,score,status
trops_historical_e8b4de0_v1,UNKNOWN,99.999,1,3,0,suppressed_only
trops_historical_e8b4de0_v1,UNKNOWN,99.999,2,3,2,observed_scored
trops_historical_e8b4de0_v1,UNKNOWN,100,1,3,0,suppressed_only
trops_historical_e8b4de0_v1,UNKNOWN,100,2,3,2,observed_scored
trops_historical_e8b4de0_v1,UNKNOWN,100.001,1,3,0,suppressed_only
trops_historical_e8b4de0_v1,UNKNOWN,100.001,2,3,2,observed_scored
trops_historical_e8b4de0_v1,UNKNOWN,199.999,1,2,0,suppressed_only
trops_historical_e8b4de0_v1,UNKNOWN,199.999,2,2,2,observed_scored
trops_historical_e8b4de0_v1,UNKNOWN,200,1,2,0,suppressed_only
trops_historical_e8b4de0_v1,UNKNOWN,200,2,2,2,observed_scored
trops_historical_e8b4de0_v1,UNKNOWN,200.001,1,2,0,suppressed_only
trops_historical_e8b4de0_v1,UNKNOWN,200.001,2,2,2,observed_scored
trops_historical_e8b4de0_v1,UNKNOWN,299.999,1,1,0,suppressed_only
trops_historical_e8b4de0_v1,UNKNOWN,299.999,2,1,1,observed_scored
trops_historical_e8b4de0_v1,UNKNOWN,300,1,1,0,suppressed_only
trops_historical_e8b4de0_v1,UNKNOWN,300,2,1,1,observed_scored
trops_historical_e8b4de0_v1,UNKNOWN,300.001,1,1,0,suppressed_only
trops_historical_e8b4de0_v1,UNKNOWN,300.001,2,1,1,observed_scored
trops_historical_e8b4de0_v1,UNKNOWN,399.999,1,0,0,observed_scored
trops_historical_e8b4de0_v1,UNKNOWN,399.999,2,0,0,observed_scored
trops_historical_e8b4de0_v1,UNKNOWN,400,1,0,0,observed_scored
trops_historical_e8b4de0_v1,UNKNOWN,400,2,0,0,observed_scored
trops_historical_e8b4de0_v1,UNKNOWN,400.001,1,0,0,observed_scored
trops_historical_e8b4de0_v1,UNKNOWN,400.001,2,0,0,observed_scored
trops_historical_e8b4de0_v1,ROOM_AIR,99.999,1,3,0,suppressed_only
trops_historical_e8b4de0_v1,ROOM_AIR,99.999,2,3,2,observed_scored
trops_historical_e8b4de0_v1,ROOM_AIR,100,1,3,0,suppressed_only
trops_historical_e8b4de0_v1,ROOM_AIR,100,2,3,2,observed_scored
trops_historical_e8b4de0_v1,ROOM_AIR,100.001,1,3,0,suppressed_only
trops_historical_e8b4de0_v1,ROOM_AIR,100.001,2,3,2,observed_scored
trops_historical_e8b4de0_v1,ROOM_AIR,199.999,1,2,0,suppressed_only
trops_historical_e8b4de0_v1,ROOM_AIR,199.999,2,2,2,observed_scored
trops_historical_e8b4de0_v1,ROOM_AIR,200,1,2,0,suppressed_only
trops_historical_e8b4de0_v1,ROOM_AIR,200,2,2,2,observed_scored
trops_historical_e8b4de0_v1,ROOM_AIR,200.001,1,2,0,suppressed_only
trops_historical_e8b4de0_v1,ROOM_AIR,200.001,2,2,2,observed_scored
trops_historical_e8b4de0_v1,ROOM_AIR,299.999,1,1,0,suppressed_only
trops_historical_e8b4de0_v1,ROOM_AIR,299.999,2,1,1,observed_scored
trops_historical_e8b4de0_v1,ROOM_AIR,300,1,1,0,suppressed_only
trops_historical_e8b4de0_v1,ROOM_AIR,300,2,1,1,observed_scored
trops_historical_e8b4de0_v1,ROOM_AIR,300.001,1,1,0,suppressed_only
trops_historical_e8b4de0_v1,ROOM_AIR,300.001,2,1,1,observed_scored
trops_historical_e8b4de0_v1,ROOM_AIR,399.999,1,0,0,observed_scored
trops_historical_e8b4de0_v1,ROOM_AIR,399.999,2,0,0,observed_scored
trops_historical_e8b4de0_v1,ROOM_AIR,400,1,0,0,observed_scored
trops_historical_e8b4de0_v1,ROOM_AIR,400,2,0,0,observed_scored
